 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano atendimento
Período:Jun/2020
"Unidade da Federação";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;-;-;158805,60;9087292,36;9246097,96
"12 Acre";-;-;-;-;-;-;-;-;-;-;-;-;3045245,80;3045245,80
"13 Amazonas";-;-;-;-;-;-;-;-;-;-;-;-;21129394,43;21129394,43
"14 Roraima";-;-;-;-;-;-;-;-;-;-;-;-;3401864,29;3401864,29
"15 Pará";-;-;-;-;-;-;-;-;-;-;-;35698,47;42157047,52;42192745,99
"16 Amapá";-;-;-;-;-;-;-;-;-;-;-;-;2009912,57;2009912,57
"17 Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;7424637,88;7424637,88
"21 Maranhão";-;-;-;-;-;4324,02;1441,34;14413,40;17296,08;20178,76;18737,42;50413,31;34741678,78;34868483,11
"22 Piauí";-;1491,04;1491,04;8946,24;-;2982,08;4473,12;5964,16;2982,08;5964,16;11169,67;72292,66;15164309,45;15282065,70
"23 Ceará";-;-;-;-;-;-;4473,12;-;1491,04;5964,16;2982,08;254312,18;54722217,45;54991440,03
"24 Rio Grande do Norte";-;7455,20;-;4473,12;4473,12;347,90;-;5964,16;4473,12;4224,61;5026,37;52552,02;21387479,34;21476468,96
"25 Paraíba";-;-;-;-;-;-;-;-;-;-;1093,43;34330,32;17405875,81;17441299,56
"26 Pernambuco";10437,28;1491,04;82045,68;9018,24;6823,62;13068,54;11649,50;5577,34;12743,82;24101,45;13722,62;96595,61;64014301,54;64301576,28
"27 Alagoas";10689,28;1476,14;-;-;-;-;13527,36;3018,08;1527,04;3054,08;9525,10;91004,20;15273051,24;15406872,52
"28 Sergipe";-;-;-;-;-;-;-;-;-;-;4473,12;15437,56;8038024,42;8057935,10
"29 Bahia";107939,06;4057,16;-;23700,52;64306,78;11362,80;13700,65;11087,61;16019,57;33220,58;17564,91;144219,14;69239326,88;69686505,66
"31 Minas Gerais";58142,01;4784,72;4598,42;12111,62;17532,54;21855,97;16329,52;17244,18;30603,61;48513,26;92571,68;720488,08;138898983,61;139943759,22
"32 Espírito Santo";-;-;-;-;-;-;-;-;3104,98;-;-;7232,09;29031444,03;29041781,10
"33 Rio de Janeiro";170299,76;28487,68;20390,97;24172,48;82603,36;206454,19;170055,04;233083,04;639038,22;246384,85;222429,53;1666760,75;88025199,12;91735358,99
"35 São Paulo";2310905,23;122962,35;296563,20;156959,25;274774,27;361436,22;325644,75;257614,33;263047,17;304322,11;590032,82;2174924,50;299329158,10;306768344,30
"41 Paraná";-;-;-;-;-;-;1491,04;1271,11;3921,33;9149,77;3037,51;598154,46;96364958,00;96981983,22
"42 Santa Catarina";-;-;-;-;-;-;3581,28;2679,12;128191,23;5356,19;26069,12;35910,92;57695648,75;57897436,61
"43 Rio Grande do Sul";-;-;-;-;-;-;1491,04;-;-;-;1491,04;261099,17;85828420,99;86092502,24
"50 Mato Grosso do Sul";-;-;-;-;-;-;-;-;1491,04;-;-;65006,51;17296694,88;17363192,43
"51 Mato Grosso";-;-;-;-;-;-;-;-;-;-;-;86857,04;13128571,49;13215428,53
"52 Goiás";185486,70;17152,10;10357,94;18221,59;30141,38;19567,40;21931,85;37021,51;49174,06;50354,07;98304,16;488160,54;35075746,55;36101619,85
"53 Distrito Federal";-;-;-;-;-;-;-;-;-;-;-;8408,95;22695926,32;22704335,27
"Total";2853899,32;189357,43;415447,25;257603,06;480655,07;641399,12;589789,61;594938,04;1175104,39;760788,05;1118230,58;7118664,08;1271612411,60;1287808287,60
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
