 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano atendimento
Período:Jan/2008-Mar/2021
"Unidade da Federação";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";2376;73088;96612;100443;97936;95786;107352;116967;111617;110906;114784;120973;122292;101902;14106;1387140
"12 Acre";2187;49010;46359;49778;52112;52766;51771;52201;48244;46563;45417;45153;44803;42431;8274;637069
"13 Amazonas";13459;165614;155100;161830;164114;163672;162915;153335;170782;165438;175980;186073;195873;181192;33377;2248754
"14 Roraima";2035;25560;28860;32827;30057;30489;33027;32193;34318;37324;43810;43462;44720;38942;8365;465989
"15 Pará";37857;507219;528358;528658;509347;485180;493956;492648;470737;464398;480193;493685;482673;431692;72474;6479075
"16 Amapá";2760;33113;37333;36458;37081;38086;38352;36036;34823;32092;34211;37692;40300;34381;5950;478668
"17 Tocantins";6421;98558;100278;103059;108143;105447;105775;102271;82749;76197;77648;70102;82688;56424;1563;1177323
"21 Maranhão";24664;325629;362117;395304;403392;387816;410481;417117;420907;404994;434911;468679;460761;388853;68730;5374355
"22 Piauí";12007;225907;238843;233769;225808;216651;219241;210073;208181;216115;212067;214436;220226;184006;34558;2871888
"23 Ceará";18737;492674;492035;487049;484909;447052;465864;481221;474449;470268;472695;505800;527009;450624;70693;6341079
"24 Rio Grande do Norte";10294;161497;166786;172370;169939;161219;165815;159202;159399;156768;163714;176231;181806;159378;28094;2192512
"25 Paraíba";10973;223310;234216;231920;211973;196377;198151;192943;181276;174901;182296;186160;188245;154416;31044;2598201
"26 Pernambuco";35172;491204;497038;515899;526924;525730;531457;541952;533564;526458;554060;560696;582225;486987;97967;7007333
"27 Alagoas";7565;179536;177656;180977;177668;164604;167032;160673;163592;167096;172526;172857;172904;143419;30386;2238491
"28 Sergipe";5084;99867;92960;93524;92631;89902;88506;89314;96152;93765;93054;94736;96486;85621;12812;1224414
"29 Bahia";22319;847075;875609;886578;877757;844820;806211;824962;824539;802007;799944;824771;846002;694367;116872;10893833
"31 Minas Gerais";72046;1122740;1110909;1136979;1147267;1164605;1179980;1223704;1200158;1177897;1197471;1239954;1278742;1107477;201651;15561580
"32 Espírito Santo";11472;183888;191030;195450;210945;212495;210511;222950;230054;234519;239680;242234;249787;223242;38552;2896809
"33 Rio de Janeiro";29525;642573;642807;666324;654034;625579;623009;640564;673400;635969;659815;706295;729724;649307;126951;8705876
"35 São Paulo";100043;2202033;2269176;2339758;2350477;2343569;2330050;2375350;2371291;2381799;2423728;2464481;2527777;2204269;466466;31150267
"41 Paraná";45779;735004;764001;784951;752266;762140;752746;749760;757387;795574;836060;874110;887744;734631;119961;10352114
"42 Santa Catarina";24844;373379;389299;389198;399482;409083;417714;435302;450970;466484;472069;488256;508575;430343;73234;5728232
"43 Rio Grande do Sul";44375;719203;729375;722331;710201;722833;737424;763362;758854;749140;751800;746131;768181;663214;121898;9708322
"50 Mato Grosso do Sul";9979;153622;158431;163411;157599;157460;163025;162380;162849;163725;165762;168406;176518;153661;20966;2137794
"51 Mato Grosso";11471;174477;177585;180163;174354;182726;182787;186658;186525;191152;190014;191256;196015;166993;29183;2421359
"52 Goiás";23122;357921;361816;371237;352880;329904;349089;351106;350792;326774;330721;327905;342388;303337;53267;4532259
"53 Distrito Federal";16396;184851;185144;186895;187789;187228;187197;179459;167812;187892;198415;207113;230975;208415;43529;2559110
"Total";602962;10848552;11109733;11347140;11267085;11103219;11179438;11353703;11325421;11256215;11522845;11857647;12185439;10479524;1930923;149369846
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
