 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano/mês processamento
Período:Jan/2008-Mar/2021
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"11 Rondônia";4142;7301;4318;4285;4511;3871;7560;7615;7507;7098;7004;6609;6441;7501;7835;7882;8462;8033;7950;7986;7842;8293;8497;8486;8561;8375;8198;8530;8769;8005;8440;8322;8776;8461;8056;7772;8014;7912;8362;8711;8553;8170;8038;8386;9272;8031;8002;7357;7998;7690;8101;8365;8775;8798;8351;7834;7480;7479;7222;6424;7515;8162;9436;9347;8914;8940;8755;9235;9141;9404;9436;9037;9200;9167;9249;9907;10697;9726;9713;9972;9905;9449;9647;9434;9592;8905;9091;8989;9996;9669;10185;9380;9176;9206;8998;8371;8956;9476;9439;10046;9397;10070;9631;9360;9090;8558;8661;8615;9061;8523;9484;10086;9317;9505;9569;9388;9106;9936;9674;9783;9446;9930;10315;10290;10537;10158;9965;10379;9494;10422;9498;9444;9708;9623;9899;10939;11252;10380;10646;10202;10244;10013;10283;9711;11116;9300;9552;7674;7530;6849;8353;8473;8907;8165;9058;8130;8065;6463;6431;1387140
"12 Acre";2087;3071;3783;3737;3609;4026;4880;4250;4552;4128;3836;4128;4430;4240;4162;4894;4647;4291;4582;4379;-;4689;3959;4327;4412;3665;4203;4735;4505;4143;3891;3906;4051;3778;4343;4055;4712;4235;4364;4412;4287;4567;4427;4027;4228;4147;4610;4202;3910;3299;4480;4397;4479;4612;4239;4685;3780;4554;4562;4030;4209;4533;4522;4793;4151;4179;3963;4067;4183;4341;4167;4405;5198;4340;4301;4228;4623;4320;4543;4248;4358;4526;4454;3594;4233;3959;4480;3905;3992;4021;3904;4130;4362;4208;3969;4036;3499;4208;4104;3979;4057;4383;4301;4304;4012;4173;3658;3713;3506;3776;3567;3418;3564;2980;2949;3848;3918;4617;4396;3463;4600;3225;3339;4237;3309;3961;3941;3982;3698;3973;3766;2580;3284;2899;3797;3037;3658;4213;4402;4033;3889;4255;3632;3464;3782;4086;3743;2943;3104;3171;3479;3774;3454;4225;3612;3698;3915;3483;3969;637069
"13 Amazonas";9325;12754;14780;14556;12833;14073;15430;15660;15061;14610;12389;12320;11034;10186;14478;12991;12876;12803;13929;13341;13917;13160;12689;12389;13510;12787;13160;14166;13970;14139;14064;12192;11684;14032;13542;13634;14083;12878;13807;14003;14795;14230;15410;13604;13385;13278;13057;15055;12914;13160;14036;13611;14348;14377;14369;13342;13868;13863;14099;12122;14316;13220;13770;14473;14186;14486;14430;14471;13707;13715;13150;13091;13969;11868;12140;11659;13694;12201;12090;12468;13184;13634;13244;12417;13239;13166;13184;13669;14869;15140;15534;14565;14410;14242;14101;12777;13475;14233;14674;13687;14605;14922;14020;14406;14632;12756;12605;12290;13701;12802;15101;14598;15400;14825;15405;14984;14965;15102;13849;14337;15074;14365;15120;15446;15705;15410;15802;15657;15803;16095;15196;15117;17444;15345;16796;16052;17051;15779;17043;16103;16964;16725;16206;15284;16411;15479;16265;13093;14317;14972;15054;14244;15290;15429;15085;13885;14517;17265;15855;2248754
"14 Roraima";1475;1812;1813;1964;2037;2030;2307;2153;1913;2550;2416;2233;2190;1971;2277;2340;2974;2570;2828;3024;3049;2108;2592;2122;2280;2027;2787;2898;2940;2912;2905;2701;2762;2580;2510;1897;1905;1912;2341;2262;1847;2017;2184;2426;2377;2284;2644;3070;2289;2708;3041;3107;3251;2926;2755;2711;2503;2103;2423;2265;2240;2347;2837;2748;3201;3245;3611;3289;2873;2652;2737;2104;2820;2836;2724;2257;2663;2481;2725;2572;2346;2415;2800;1690;2759;2930;2636;3260;2705;2531;3110;3454;3172;3201;2725;2351;2748;2423;2928;3327;3476;3384;3811;3728;3717;3732;3802;3193;3173;2989;3510;3829;3878;3915;4189;3969;3549;3655;3489;3513;3717;3776;3567;3461;3504;3661;3661;3739;3471;3901;3696;3591;3274;3086;2871;3172;3033;3591;4324;4881;4366;4288;4019;3767;3679;3775;3576;3132;2916;2846;2899;3263;3063;3481;3435;3496;3157;3304;3278;465989
"15 Pará";38628;41530;42790;41112;44643;43506;45110;43661;44256;43789;40719;39594;40817;40830;44278;43555;43281;42611;47090;46189;46025;45873;42567;43629;43572;43935;45532;43479;46248;44347;43483;43274;44740;43924;43262;42724;44832;43480;44181;43663;40456;43704;40525;40360;43920;42383;41700;41893;42756;41703;43036;42361;43150;41879;40674;32903;41255;40156;38893;39184;39674;41622;42930;42625;42932;42465;41655;40845;41059;41421;40572;40965;39248;40017;41365;41618;41692;42006;40306;41202;42111;40813;41191;39063;39043;38553;39690;40604;40495;40383;39788;40650;39306;39296;36793;37152;37348;40671;38589;39424;38964;38250;38810;40538;39171;39568;36353;35945;37874;38784;38240;39490;39638;40400;39264;39984;42506;42518;40717;40967;39487;39306;40553;41899;41519;41406;40710;41713;42521;44184;41147;39475;38268;39379;40493;41863;42449;41512;37799;38526;41093;41973;41094;40501;39529;40926;39504;30762;29909;32102;33340;38719;36072;37057;38147;36941;36537;34126;27721;6479075
"16 Amapá";2386;2650;2262;2259;1555;2611;2733;2808;3154;3502;2801;2843;2985;3417;3285;3657;3118;3033;3263;3169;3235;3202;3358;3018;3111;3000;2862;2769;2849;3100;3101;2920;3289;2970;3300;3313;3040;2971;2511;3073;3322;3116;3476;3082;3175;3003;3032;3214;3055;2914;3101;3159;3248;3241;3240;3268;3309;3295;3347;3205;3310;2867;2938;3270;3385;3208;3185;3388;3240;3167;3222;3035;3180;2979;2897;3151;3447;2459;3365;3250;3187;3175;2780;2979;2727;2325;2805;3011;2926;3174;3043;2806;3176;3062;2818;2779;2607;2499;2511;2667;2724;2917;2949;2763;2831;2682;2734;2769;2730;2676;2768;2638;3017;2860;2762;2863;3038;2909;2854;2493;2646;2842;3018;2723;2504;3233;2897;3506;3693;3921;3438;3591;3640;3463;3468;3468;3543;3186;3427;3546;3334;3330;3336;3135;3119;3213;2420;2017;2118;2350;3010;3072;2945;2367;2398;2944;2872;3313;3360;478668
"17 Tocantins";6665;7638;9491;8330;8627;8166;8706;8315;8621;8050;8192;7527;7732;8400;8562;8347;8694;8741;8229;8329;8236;8356;8221;7675;8489;8411;8717;8880;9063;8813;8753;8913;8797;8667;8648;7888;8660;8722;8908;9161;9300;9190;8736;8334;8341;8720;9343;9769;9327;9042;9981;9548;9311;9357;8497;8826;8221;8209;7715;7530;7812;8254;9131;9225;9252;9324;8392;9236;8662;9288;8427;8149;8809;8630;8934;8563;8542;8084;8223;9218;9220;9223;8365;6977;7297;6925;7320;8033;6975;7378;7421;6875;6418;6458;6445;5313;5847;6761;7173;6734;6817;6739;6983;6493;6163;5988;6498;6333;5945;6134;7290;6365;7220;6679;5894;6810;6836;5552;5892;5803;5976;5526;6335;5166;5851;6254;5783;5917;5388;5357;5249;5209;5698;6112;6142;6428;6849;6166;7066;7477;8342;7301;6442;7136;7522;6861;6890;6247;6330;6061;6734;6305;6108;6191;454;447;370;404;845;1177323
"21 Maranhão";21417;25681;26368;28277;27902;28708;29416;28910;27968;29766;26784;26689;25488;27685;28238;29743;30099;30095;30610;31664;32266;32441;30734;30911;31812;30158;33472;32298;33565;33478;33584;33400;32585;34266;34656;32896;33438;33515;34482;34689;33151;33089;33152;33069;33224;34359;33575;34574;33361;32773;33679;35101;35873;33426;34278;33047;32759;30713;30368;28161;31560;31614;32954;34092;34153;34799;35218;35261;35303;35114;34762;33998;34529;33224;33818;34565;35736;34853;35548;35680;36438;33922;34482;32870;32678;33261;36918;35825;36975;36552;36418;35932;35408;35683;34035;33754;34644;34137;35003;35424;35985;35181;34313;35130;34607;32712;31353;26836;31057;35049;36833;35079;36828;36988;38666;36685;36813;35642;36089;38308;39286;36070;39267;40613;40561;39112;39301;39636;38514;38976;38114;37449;38854;35982;39279;39770;40580;38222;38618;38515;38580;39126;37712;36235;37925;36391;35227;28281;29417;28759;30917;31644;31757;33843;32776;30604;31135;29455;28672;5374355
"22 Piauí";15878;18994;18383;18909;19418;19207;20157;19111;19573;20259;18994;17528;17540;17865;18734;19614;20785;21417;21133;20204;19873;19594;19815;20191;21054;19305;21045;20206;21009;20167;19525;19132;18820;18977;18833;18461;19266;18414;20200;19642;19504;18181;19133;18360;19129;18471;18334;18043;18891;16994;18365;18241;19232;18359;18239;18932;18646;17591;17315;15602;18007;17563;18522;18909;19844;19147;19166;19404;17519;18242;17157;16404;18847;17079;18229;17702;18204;17459;16828;17320;17782;17576;16483;15470;16502;16155;17191;17798;18646;17463;17231;17746;17406;18291;18535;17207;17910;17638;18669;18300;18657;18887;18480;18370;18311;17712;17325;16902;17423;16510;17222;17678;18553;17575;17505;17806;18008;17035;16743;17763;17709;17109;18425;18292;18548;18524;18206;18546;17961;17932;17380;18135;17601;16879;17792;17815;18614;18485;18385;18727;18755;19342;18528;18264;17806;17500;15867;12305;12989;13545;14350;14988;14597;15954;15211;15470;17552;14690;14300;2871888
"23 Ceará";29823;39604;42328;44200;43822;43460;42789;41577;42210;39427;33549;37772;35806;37581;44671;42769;43616;42324;41986;42492;41713;41555;41079;39002;39264;39549;41990;41903;43093;41868;41176;42069;40624;39389;40038;38173;39971;41169;41220;41444;37256;40663;41372;39649;39250;40357;40227;39661;37637;36110;38474;39653;39807;39300;36981;37360;36388;35202;35568;33575;34418;34986;37961;40410;41188;38705;40202;39174;40620;41708;38224;37282;39569;37905;38637;39252;41936;39446;41739;40495;41612;39314;40378;39082;38046;36334;40112;40664;41929;40448;41226;41413;41314;40068;39520;37633;37802;37266;38846;40722;41487;40538;39498;40319;39748;39310;38451;37131;36813;36691;39567;38524;40642;39516;40047;40463;39399;40354;39581;37661;40489;38241;42387;43074;43237;42104;42936;43485;40642;42717;40884;39267;44226;41837;43445;44243;45516;43746;44435;44781;44277;44486;42332;42642;43203;40592;40790;34756;33947;36251;37747;36083;36024;38442;38257;35767;36707;36166;35007;6341079
