 Procedimentos hospitalares do SUS - por local de internação - Brasil
Média permanência por Unidade da Federação e Ano processamento
Período:Jan/2008-Mar/2021
"Unidade da Federação";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";3,7;3,7;3,9;4,3;4,3;4,6;4,4;4,7;4,8;4,6;4,6;4,8;4,7;5,3;4,4
"12 Acre";4,4;4,4;4,4;4,6;4,6;4,8;4,8;4,9;5,2;5,1;4,9;4,9;4,8;5,1;4,7
"13 Amazonas";4,7;4,8;4,8;4,8;5,0;5,0;5,0;5,1;5,2;5,2;5,2;5,2;5,3;5,6;5,1
"14 Roraima";4,8;4,7;5,1;4,9;4,9;4,7;5,0;5,3;5,5;5,2;5,3;5,8;5,8;6,3;5,2
"15 Pará";3,7;3,7;3,7;3,7;3,8;3,8;3,9;4,0;4,0;4,1;4,1;4,1;4,2;4,3;3,9
"16 Amapá";4,9;4,7;4,7;4,9;5,1;5,2;5,2;5,2;5,4;5,2;5,2;5,3;5,0;5,2;5,1
"17 Tocantins";4,6;4,6;4,4;4,4;4,3;4,1;4,1;4,6;5,1;5,2;5,3;5,6;5,2;3,7;4,7
"21 Maranhão";4,8;4,7;4,4;4,5;4,5;4,4;4,5;4,6;4,8;4,7;4,5;4,6;4,9;5,3;4,6
"22 Piauí";4,4;4,3;4,1;4,0;4,1;4,3;4,4;4,5;4,6;4,8;4,9;4,9;4,9;5,0;4,5
"23 Ceará";5,0;5,1;5,1;5,2;5,3;5,3;5,5;5,7;5,7;5,7;5,6;5,6;5,7;6,0;5,4
"24 Rio Grande do Norte";5,6;5,6;5,7;5,6;5,6;5,6;5,9;5,9;6,1;5,9;5,8;5,8;5,7;5,7;5,8
"25 Paraíba";5,0;5,1;5,2;5,4;5,6;5,7;5,4;5,5;5,6;5,7;5,7;5,6;5,7;5,9;5,5
"26 Pernambuco";6,7;6,6;6,2;6,1;5,9;5,9;5,8;5,8;5,8;5,6;5,5;5,5;5,6;5,6;5,9
"27 Alagoas";5,2;5,5;5,4;5,5;5,8;5,8;5,8;5,5;5,3;5,2;5,0;5,3;5,6;5,5;5,4
"28 Sergipe";4,6;4,9;5,3;5,2;5,1;4,8;4,4;4,9;5,4;5,4;5,7;5,8;5,8;5,5;5,2
"29 Bahia";4,3;4,3;4,3;4,4;4,6;4,8;4,7;4,7;4,8;4,8;4,8;4,6;4,8;5,0;4,6
"31 Minas Gerais";5,7;5,7;5,7;5,7;5,7;5,6;5,4;5,4;5,4;5,3;5,1;5,1;5,1;5,2;5,4
"32 Espírito Santo";5,9;5,8;5,7;5,5;5,4;5,4;5,4;5,2;5,2;5,0;4,9;4,8;5,0;5,4;5,3
"33 Rio de Janeiro";9,7;9,5;9,3;9,2;9,2;9,2;8,8;8,3;8,3;8,1;7,6;7,3;7,3;6,8;8,5
"35 São Paulo";7,0;6,9;6,8;6,8;6,8;6,7;6,5;6,3;6,1;5,8;5,6;5,5;5,8;6,0;6,3
"41 Paraná";5,2;5,0;5,1;5,1;5,0;4,9;4,9;4,8;4,6;4,5;4,4;4,3;4,6;5,0;4,8
"42 Santa Catarina";5,6;5,6;5,5;5,5;5,4;5,4;5,2;5,0;4,9;4,8;4,7;4,5;4,7;5,1;5,1
"43 Rio Grande do Sul";5,8;5,9;6,0;6,1;6,1;6,2;6,2;6,1;6,1;6,0;6,1;6,1;6,1;6,4;6,1
"50 Mato Grosso do Sul";4,7;4,7;4,8;4,7;4,8;4,8;4,8;4,8;4,8;4,8;4,7;4,6;4,9;5,1;4,8
"51 Mato Grosso";4,2;4,4;4,5;4,5;4,4;4,4;4,5;4,5;4,6;4,6;4,6;4,5;4,5;4,7;4,5
"52 Goiás";5,0;5,1;5,1;5,2;5,4;5,2;4,9;5,0;5,0;4,8;4,8;4,8;5,1;5,4;5,0
"53 Distrito Federal";6,3;6,4;6,7;6,8;6,9;6,4;6,5;6,7;6,4;6,0;6,2;5,8;5,5;5,6;6,3
"Total";5,8;5,8;5,7;5,7;5,7;5,7;5,6;5,6;5,6;5,4;5,3;5,3;5,4;5,6;5,6
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
