 Procedimentos hospitalares do SUS - por local de internação - Brasil
Óbitos por Unidade da Federação e Ano processamento
Período:Jan/2008-Mar/2021
"Unidade da Federação";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";969;1375;2007;2189;2319;2697;3033;3093;3579;3524;3450;3523;3973;1327;37058
"12 Acre";998;1144;1349;1543;1248;1281;1232;1512;1494;1359;1470;1543;1906;536;18615
"13 Amazonas";2948;3113;3175;3993;3965;3764;3144;4083;5070;5304;5785;6500;9377;4742;64963
"14 Roraima";383;561;754;574;759;625;587;791;1078;1161;1300;1428;1666;799;12466
"15 Pará";7521;8541;9039;9156;9393;10080;10291;10764;11196;11671;11743;11574;14952;3670;139591
"16 Amapá";703;855;846;879;1019;969;987;977;900;863;1023;1127;1406;451;13005
"17 Tocantins";2367;2408;2644;2551;2647;2709;2743;2546;2668;2484;2163;2767;2946;71;33714
"21 Maranhão";3837;4519;5259;6080;7072;8209;8772;9636;9882;10325;10601;11114;14188;4005;113499
"22 Piauí";3915;4236;4254;4742;5323;5885;5839;6475;6727;6167;6262;6612;7268;2037;75742
"23 Ceará";12724;14712;14408;14294;14080;15084;15593;17646;18065;18937;19078;20104;23440;5825;223990
"24 Rio Grande do Norte";4021;4575;5095;5701;5700;5373;5707;5898;6519;6360;6498;7292;7862;2072;78673
"25 Paraíba";6337;7859;8182;7707;7659;8299;7818;7466;8633;8626;8649;9336;10284;3106;109961
"26 Pernambuco";15863;17645;17121;18436;18732;20923;21572;23307;25816;24229;23856;25038;28084;8078;288700
"27 Alagoas";3384;4545;4819;5969;5987;6197;5824;7001;7193;7099;6413;6632;7109;2218;80390
"28 Sergipe";2283;2574;3082;3181;3301;3411;3056;4138;4913;4432;4791;5038;5582;1484;51266
"29 Bahia";18454;21035;22348;24069;25390;26115;26547;29288;29122;29240;29509;31620;34424;9225;356386
"31 Minas Gerais";44339;47175;48449;49216;49804;51353;52047;53792;54828;56182;56736;59567;62116;19225;704829
"32 Espírito Santo";5402;6276;6606;7314;7090;7305;7441;8430;8886;9228;9044;9229;11907;3728;107886
"33 Rio de Janeiro";28256;30721;36648;37456;37236;38637;39836;44525;43484;43660;47578;49669;58500;16547;552753
"35 São Paulo";98983;105139;112082;111296;110768;113499;115542;119044;123441;121615;123751;127860;145045;43408;1571473
"41 Paraná";23652;26519;27845;27710;27515;28710;29481;30255;32166;31282;33006;33701;37386;12794;402022
"42 Santa Catarina";12950;14763;15407;15824;15520;16381;17654;18259;19519;19383;20412;21220;21965;7581;236838
"43 Rio Grande do Sul";30427;32914;33550;32248;33041;35653;36008;36957;38697;37817;38713;39839;41617;14110;481591
"50 Mato Grosso do Sul";4266;5031;5675;5465;5443;5857;5735;6038;6334;6485;6515;6796;7767;2373;79780
"51 Mato Grosso";4438;5170;5711;5787;5845;6294;6417;6738;7013;6902;6965;7210;7654;2209;84353
"52 Goiás";7363;8677;9338;9473;9088;9924;10600;11467;11300;11195;11133;12458;15194;4409;141619
"53 Distrito Federal";5565;5131;4872;5652;5631;5720;5727;5713;6727;6161;6548;6651;8248;2416;80762
"Total";352348;387213;410565;418505;421575;440954;449233;475839;495250;491691;502992;525448;591866;178446;6141925
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
