 Procedimentos hospitalares do SUS - por local de internação - Brasil
Taxa mortalidade por Unidade da Federação e Ano/mês atendimento
Período:Jan/2019-Mar/2021
"Unidade da Federação";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"Rondônia";...;...;-;...;...;-;66,67;57,14;36,67;9,64;4,35;4,63;3,70;3,21;2,62;2,66;3,25;2,83;2,68;3,07;2,68;2,65;2,48;2,46;2,61;3,18;2,71;3,15;3,88;5,07;5,81;4,61;4,78;4,00;3,22;3,68;4,81;5,82;5,75;12,82;3,57
"Acre";...;...;...;...;...;...;...;8,33;12,24;10,67;8,38;5,20;4,57;3,59;3,80;3,62;3,87;3,27;3,06;2,93;3,69;3,17;3,48;3,84;3,95;3,75;4,11;3,45;5,55;6,74;6,77;5,64;4,20;3,52;3,07;3,83;4,50;3,73;4,18;3,69;4,03
"Amazonas";...;...;100,00;...;...;...;...;-;20,00;-;11,27;7,46;3,87;3,15;3,61;3,52;3,03;2,86;3,16;3,13;3,32;3,29;3,20;3,23;3,42;3,64;3,45;3,95;12,41;10,06;5,38;4,67;4,35;4,41;4,37;4,92;6,16;15,03;7,66;5,26;4,86
"Roraima";...;...;...;...;...;...;...;-;-;-;2,23;1,83;3,74;3,33;3,21;2,69;2,67;3,72;3,25;3,88;3,33;3,13;2,57;3,16;3,15;3,38;2,56;3,24;3,48;8,36;10,29;5,16;2,94;3,00;2,97;4,09;4,14;7,90;10,33;7,43;4,14
"Pará";...;33,33;-;...;...;100,00;...;16,67;2,86;7,02;4,10;3,35;3,26;2,38;2,33;2,42;2,33;2,42;2,25;2,41;2,39;2,27;2,18;2,35;2,62;2,28;2,38;2,80;4,61;7,77;4,99;3,87;3,22;2,87;2,82;2,63;3,16;3,54;3,65;3,70;2,97
"Amapá";...;...;...;...;...;...;...;...;...;14,29;8,43;6,01;4,05;2,61;2,51;2,86;3,25;3,00;2,79;2,53;2,48;2,26;3,02;2,97;2,26;2,23;2,48;2,64;5,66;11,28;6,61;5,03;3,11;3,08;3,57;3,91;5,69;3,63;3,92;8,53;3,62
"Tocantins";...;...;...;...;...;...;-;...;-;7,33;7,31;7,03;5,59;3,73;3,25;3,18;3,58;3,50;3,03;3,93;3,07;3,62;3,20;3,49;3,92;3,45;3,54;3,66;3,56;5,11;4,90;5,75;5,58;3,40;0,98;2,53;3,19;3,00;1,04;7,23;3,88
"Maranhão";...;-;-;...;...;...;...;...;11,54;2,65;4,14;3,86;3,93;2,53;2,45;2,54;2,47;2,47;2,52;2,42;2,26;2,34;2,29;2,24;2,47;2,57;2,55;2,88;4,74;7,24;5,57;4,10;3,75;3,23;3,12;2,86;3,26;3,67;4,03;5,85;3,12
"Piauí";...;-;...;...;...;-;...;...;16,67;15,60;6,60;5,11;4,26;3,18;2,93;2,99;3,53;3,02;3,22;3,14;2,93;2,76;2,78;3,11;3,02;3,01;2,91;3,60;3,98;4,71;5,70;5,89;4,64;4,01;3,89;3,68;3,76;3,73;3,93;3,91;3,57
"Ceará";...;-;-;...;...;...;-;-;5,56;8,08;4,53;4,68;5,06;3,75;3,75;4,08;4,12;4,06;3,89;3,73;3,63;3,63;3,78;3,99;3,98;3,95;4,04;4,52;7,16;9,47;6,77;5,57;4,75;4,61;4,48;4,22;4,72;4,62;4,72;6,00;4,55
"Rio Grande do Norte";...;-;...;...;...;...;-;-;5,00;5,17;5,93;5,63;5,59;3,92;4,05;3,93;3,94;3,94;3,98;3,89;3,63;3,65;3,96;3,71;3,92;3,80;4,02;4,00;4,92;6,10;7,68;6,24;5,12;4,48;4,15;4,52;5,35;4,99;4,65;4,89;4,47
"Paraíba";...;-;...;...;...;...;...;-;13,04;5,56;5,74;6,57;7,43;5,15;4,67;4,82;4,86;5,13;5,09;5,01;5,12;4,59;4,79;5,08;5,22;5,36;5,21;4,67;6,39;9,78;8,88;7,65;7,18;6,43;6,32;6,16;7,24;6,93;7,20;8,23;5,91
"Pernambuco";...;-;...;...;...;...;-;...;-;2,00;2,30;4,00;5,24;4,26;4,23;4,24;4,25;4,27;4,48;4,31;4,39;4,40;4,06;4,29;4,52;4,49;4,60;4,88;8,18;9,17;7,12;6,35;5,69;5,50;5,37;5,39;6,23;6,41;5,96;6,59;5,16
"Alagoas";...;...;...;...;...;...;25,00;-;9,80;9,70;4,29;5,42;6,21;4,15;3,73;3,96;3,73;3,79;4,01;3,53;3,76;3,90;3,61;3,58;3,94;3,81;4,15;4,45;5,36;9,73;8,38;5,13;4,62;3,95;4,01;4,35;4,96;4,99;5,83;4,60;4,49
