 Procedimentos hospitalares do SUS - por local de internação - Brasil
Taxa mortalidade por Unidade da Federação e Ano/mês processamento
Período:Jan/2019-Mar/2021
"Unidade da Federação";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"11 Rondônia";3,07;2,81;2,68;3,01;2,86;2,46;3,09;2,74;3,05;3,24;3,03;2,34;2,70;2,65;2,69;3,51;3,92;5,21;5,34;5,62;4,58;3,59;2,94;4,43;5,39;5,15;8,69;3,57
"12 Acre";4,11;3,69;3,63;3,95;3,99;3,47;2,50;3,57;3,55;2,98;2,89;3,67;4,15;3,72;4,81;4,69;5,09;6,02;5,52;4,32;3,94;4,09;3,29;3,98;3,65;5,40;5,17;4,03
"13 Amazonas";3,27;3,22;3,73;3,31;3,34;2,90;3,23;3,22;3,51;3,25;3,41;3,21;3,17;3,84;3,12;4,80;10,37;9,78;6,08;4,61;4,40;3,95;4,74;4,37;9,16;9,36;11,33;4,86
"14 Roraima";3,48;3,95;1,81;3,63;3,59;3,45;3,95;2,44;3,18;2,57;3,26;3,24;2,85;2,81;2,99;3,13;6,07;11,52;6,11;2,60;3,49;3,27;3,93;3,63;6,02;9,75;8,76;4,14
"15 Pará";2,54;2,38;2,41;2,36;2,39;2,61;2,29;2,29;2,45;2,20;2,24;2,47;2,36;2,38;2,39;2,88;4,53;6,91;4,57;4,55;3,32;2,75;2,82;2,89;3,18;3,60;4,61;2,97
"16 Amapá";3,19;2,08;3,17;3,34;3,05;2,82;2,48;2,45;2,25;2,88;2,88;2,42;3,11;2,18;2,44;4,16;8,83;7,62;7,18;4,85;2,72;3,21;2,63;4,96;3,83;4,11;6,10;3,62
"17 Tocantins";4,32;4,32;4,05;3,42;3,04;3,42;2,97;2,94;3,33;3,07;3,42;3,04;3,76;3,67;4,21;3,70;3,92;4,67;5,39;5,28;5,58;4,83;1,98;3,13;4,05;0,99;6,15;3,88
"21 Maranhão";2,63;2,32;2,61;2,27;2,45;2,63;2,36;2,50;2,26;2,34;2,22;2,28;2,48;2,50;2,75;3,18;6,21;6,72;4,82;3,60;3,31;3,28;3,24;2,80;3,39;3,90;6,28;3,12
"22 Piauí";2,89;3,09;2,87;3,46;3,21;3,18;3,12;3,03;3,01;2,75;2,68;2,94;3,13;2,87;2,96;3,53;3,67;4,18;5,85;6,12;4,48;4,47;3,67;3,74;3,85;4,53;4,87;3,57
"23 Ceará";3,78;3,57;3,73;3,96;3,96;3,93;3,87;3,87;3,65;3,75;3,80;3,97;4,03;3,87;3,97;4,61;7,21;7,39;5,87;6,30;5,12;5,21;4,66;4,64;4,73;4,88;6,64;4,55
"24 Rio Grande do Norte";4,56;3,70;4,11;3,49;4,38;3,72;4,42;3,39;4,03;3,79;4,52;3,69;3,89;3,76;3,81;4,56;4,93;5,59;6,35;5,84;4,87;4,40;4,81;4,96;4,95;5,76;5,71;4,47
"25 Paraíba";5,10;4,80;4,72;4,61;5,05;5,23;5,00;5,14;4,95;4,73;4,91;5,23;5,03;5,13;4,99;5,89;7,18;6,77;9,67;7,78;6,78;7,54;5,93;6,33;7,64;7,33;8,56;5,91
"26 Pernambuco";4,38;4,20;4,39;4,17;4,31;4,45;4,38;4,42;4,39;4,16;4,19;4,44;4,50;4,37;4,77;5,78;8,53;7,84;6,75;6,21;5,78;4,46;5,93;5,56;6,83;6,34;6,83;5,16
"27 Alagoas";3,98;3,92;3,90;3,77;3,50;4,10;3,72;3,76;3,90;4,15;3,30;4,38;3,75;3,84;4,37;4,86;5,71;6,27;6,36;5,99;4,93;4,95;4,52;4,35;5,50;5,14;6,65;4,49
"28 Sergipe";5,68;6,16;4,95;5,21;5,60;4,91;5,34;5,13;6,11;5,60;4,36;5,01;5,22;4,91;5,03;5,50;6,39;6,37;7,44;8,12;8,69;7,15;6,86;6,64;5,79;6,96;6,34;5,94
"29 Bahia";3,78;3,39;3,60;3,78;3,53;3,75;3,96;3,98;3,80;3,61;3,97;3,84;4,01;3,84;4,11;4,85;5,36;6,08;6,30;5,87;5,10;4,67;4,50;4,97;5,24;5,41;5,75;4,40
"31 Minas Gerais";4,73;4,42;4,53;4,39;4,49;4,73;4,91;4,94;4,84;4,69;4,48;4,51;4,74;4,54;4,78;5,27;5,37;5,73;6,16;6,60;6,37;6,43;5,77;5,83;6,70;6,42;7,88;5,29
"32 Espírito Santo";4,02;3,50;3,69;3,58;3,64;3,65;3,87;3,91;3,63;3,83;3,64;3,96;4,15;3,65;3,70;4,47;5,70;6,90;7,33;6,64;5,90;5,14;5,35;5,42;6,53;5,71;6,81;4,69
"33 Rio de Janeiro";7,04;6,43;7,13;6,52;6,87;7,43;7,09;6,63;6,53;6,62;6,48;6,77;7,19;6,59;7,11;8,27;11,01;10,88;10,58;9,32;9,19;8,15;9,29;9,59;9,92;9,35;10,42;8,02
"35 São Paulo";5,37;4,90;4,75;4,69;4,87;5,23;5,59;5,20;5,18;4,89;4,77;5,03;5,25;5,05;5,22;6,86;7,68;8,00;8,21;7,52;6,94;6,71;6,06;6,40;7,09;7,08;9,08;5,97
"41 Paraná";4,03;3,72;3,60;3,60;3,68;3,73;3,93;4,07;4,00;4,00;3,75;3,84;3,97;4,16;4,21;4,56;4,61;5,33;5,69;6,51;5,75;5,40;5,41;5,93;6,36;6,33;8,44;4,66
"42 Santa Catarina";4,35;3,92;4,11;4,07;3,83;4,09;4,20;4,57;4,51;4,20;3,91;4,06;4,33;4,22;4,28;5,19;4,80;5,10;5,99;6,70;6,00;5,44;5,08;5,79;6,10;6,34;8,66;4,88
"43 Rio Grande do Sul";5,43;5,09;4,87;4,79;4,77;4,92;5,52;5,86;5,72;5,23;5,03;5,00;5,18;4,91;4,90;5,52;6,22;6,30;7,26;7,43;7,16;6,93;6,40;6,68;7,50;7,18;10,95;5,96
"50 Mato Grosso do Sul";3,57;3,80;3,75;3,75;3,44;3,44;4,01;4,17;4,43;3,75;4,14;3,72;3,65;3,81;3,94;4,80;4,40;4,62;5,25;5,90;6,84;6,62;5,70;5,81;6,41;5,63;6,87;4,58
