 Procedimentos hospitalares do SUS - por local de internação - Brasil
Taxa mortalidade por Unidade da Federação e Ano atendimento
Período:Jan/2008-Mar/2021
"Unidade da Federação";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";2,65;1,38;1,46;2,06;2,20;2,53;2,50;2,60;2,82;3,23;3,06;2,90;2,76;4,02;6,84;2,67
"12 Acre";5,26;2,28;2,25;2,73;2,92;2,53;2,30;2,44;3,01;3,16;3,12;3,39;3,50;4,48;3,88;2,92
"13 Amazonas";2,63;1,84;2,05;2,07;2,34;2,37;2,21;2,07;2,53;3,05;3,08;3,16;3,24;5,46;10,82;2,89
"14 Roraima";1,03;1,54;1,97;2,27;2,36;2,14;1,95;2,17;2,25;2,56;2,67;2,99;3,17;4,36;8,61;2,68
"15 Pará";1,87;1,49;1,64;1,72;1,83;1,95;2,02;2,09;2,29;2,43;2,43;2,35;2,36;3,51;3,61;2,15
"16 Amapá";4,35;2,11;2,27;2,41;2,38;2,52;2,62;2,59;2,81;2,74;2,57;2,78;2,72;4,45;4,67;2,72
"17 Tocantins";3,05;2,42;2,42;2,51;2,42;2,54;2,56;2,81;2,95;3,39;3,32;3,39;3,46;4,14;4,16;2,86
"21 Maranhão";1,97;1,20;1,27;1,34;1,49;1,80;2,01;2,14;2,29;2,44;2,36;2,29;2,42;3,72;4,28;2,11
"22 Piauí";3,49;1,71;1,79;1,76;2,24;2,47;2,63;2,83;3,05;3,05;2,94;2,90;3,05;4,08;3,84;2,64
"23 Ceará";5,01;2,76;2,94;2,94;3,02;3,18;3,20;3,30;3,65;3,81;3,99;3,83;3,87;5,25;4,95;3,53
"24 Rio Grande do Norte";3,04;2,56;2,78;2,94;3,37;3,52;3,40;3,58;3,81;3,99;3,93;3,80;3,87;4,97;4,85;3,59
"25 Paraíba";4,38;2,85;3,43;3,44;3,63;4,00;4,12;4,11;4,16;4,88;4,70;4,74;4,96;6,71;7,34;4,23
"26 Pernambuco";4,13;3,30;3,50;3,33;3,46;3,57;3,91;4,01;4,40;4,79;4,34;4,27;4,31;5,96;6,30;4,12
"27 Alagoas";3,44;1,92;2,58;2,78;3,33;3,57;3,76;3,77;4,17;4,27;4,10;3,74;3,80;5,09;5,18;3,59
"28 Sergipe";3,95;2,33;3,03;3,32;3,68;3,45;3,70;3,49;4,59;5,10;5,00;5,07;5,24;6,51;4,78;4,19
"29 Bahia";3,83;2,30;2,40;2,53;2,79;3,02;3,21;3,26;3,52;3,64;3,68;3,59;3,76;5,00;5,16;3,27
"31 Minas Gerais";5,34;3,99;4,20;4,29;4,26;4,32;4,35;4,25;4,47;4,64;4,72;4,59;4,63;5,70;7,00;4,53
"32 Espírito Santo";4,45;3,10;3,22;3,47;3,43;3,30;3,44;3,36;3,72;3,83;3,86;3,73;3,75;5,57;5,54;3,72
"33 Rio de Janeiro";6,80;4,61;4,89;5,53;5,68;5,97;6,24;6,24;6,55;6,80;6,65;6,77;6,82;9,18;8,75;6,35
"35 São Paulo";6,68;4,67;4,64;4,75;4,71;4,77;4,84;4,86;4,99;5,15;5,03;5,02;5,03;6,66;7,42;5,04
"41 Paraná";4,36;3,31;3,43;3,58;3,63;3,61;3,85;3,92;4,02;4,04;3,77;3,82;3,84;5,24;6,76;3,88
"42 Santa Catarina";5,17;3,51;3,79;3,97;3,97;3,86;3,94;3,99;4,02;4,19;4,10;4,21;4,16;5,40;6,47;4,13
"43 Rio Grande do Sul";4,77;4,33;4,49;4,61;4,63;4,62;4,81;4,72;4,82;5,13;5,07;5,23;5,18;6,41;8,31;4,96
"50 Mato Grosso do Sul";4,30;2,91;3,17;3,48;3,48;3,61;3,61;3,50;3,76;3,95;3,85;3,87;3,84;5,32;4,72;3,73
"51 Mato Grosso";3,48;2,62;2,90;3,18;3,30;3,25;3,36;3,47;3,61;3,63;3,65;3,71;3,64;4,66;5,45;3,48
"52 Goiás";2,04;2,10;2,36;2,51;2,68;2,77;2,86;3,05;3,27;3,44;3,41;3,44;3,63;5,10;6,05;3,12
"53 Distrito Federal";4,87;2,83;2,78;2,76;3,09;2,99;3,05;3,20;3,43;3,54;3,12;3,05;2,94;3,87;4,15;3,16
"Total";4,56;3,35;3,48;3,62;3,72;3,82;3,93;3,97;4,19;4,37;4,28;4,26;4,31;5,75;6,57;4,11
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
