 Procedimentos hospitalares do SUS - por local de internação - Brasil
Taxa mortalidade por Unidade da Federação e Ano processamento
Período:Jan/2008-Mar/2021
"Unidade da Federação";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";1,35;1,44;2,00;2,22;2,45;2,51;2,61;2,77;3,22;3,11;2,88;2,87;3,85;6,33;2,67
"12 Acre";2,17;2,35;2,71;2,95;2,45;2,49;2,34;3,07;3,09;3,09;3,30;3,46;4,43;4,72;2,92
"13 Amazonas";1,80;2,02;1,97;2,38;2,42;2,25;2,06;2,42;3,05;3,03;3,13;3,30;5,22;9,95;2,89
"14 Roraima";1,55;1,87;2,42;2,10;2,37;1,84;1,94;2,27;2,68;2,66;2,97;3,20;4,21;8,20;2,68
"15 Pará";1,48;1,62;1,71;1,79;1,92;2,02;2,10;2,28;2,41;2,43;2,38;2,39;3,45;3,73;2,15
"16 Amapá";2,23;2,21;2,31;2,37;2,65;2,54;2,68;2,82;2,76;2,57;2,69;2,76;4,40;4,72;2,72
"17 Tocantins";2,41;2,42;2,54;2,38;2,51;2,58;2,67;3,07;3,40;3,25;3,18;3,41;4,45;4,39;2,86
"21 Maranhão";1,17;1,26;1,33;1,50;1,80;2,01;2,11;2,28;2,44;2,38;2,27;2,41;3,66;4,49;2,11
"22 Piauí";1,73;1,79;1,80;2,09;2,46;2,68;2,79;3,08;3,10;2,94;2,89;3,02;4,02;4,38;2,64
"23 Ceará";2,65;2,97;2,95;2,96;3,16;3,24;3,25;3,69;3,83;4,04;3,82;3,82;5,19;5,40;3,53
"24 Rio Grande do Norte";2,50;2,75;2,95;3,33;3,50;3,30;3,60;3,68;4,13;3,93;3,77;3,99;4,79;5,44;3,59
"25 Paraíba";2,84;3,37;3,47;3,63;3,88;4,20;4,09;4,15;4,89;4,70;4,72;4,96;6,57;7,84;4,23
"26 Pernambuco";3,24;3,54;3,31;3,49;3,56;3,91;3,99;4,38;4,82;4,35;4,27;4,32;5,78;6,67;4,12
"27 Alagoas";1,90;2,56;2,68;3,33;3,61;3,71;3,71;4,21;4,27;4,13;3,72;3,86;4,90;5,76;3,59
"28 Sergipe";2,29;2,80;3,29;3,51;3,60;3,83;3,45;4,35;5,21;4,82;5,08;5,34;6,48;6,38;4,19
"29 Bahia";2,22;2,40;2,51;2,76;3,01;3,24;3,24;3,53;3,64;3,69;3,60;3,75;4,91;5,47;3,27
"31 Minas Gerais";3,94;4,21;4,29;4,28;4,30;4,35;4,25;4,47;4,63;4,73;4,59;4,64;5,61;7,01;4,53
"32 Espírito Santo";3,03;3,25;3,40;3,46;3,33;3,45;3,36;3,70;3,82;3,83;3,73;3,75;5,28;6,36;3,72
"33 Rio de Janeiro";4,49;4,80;5,50;5,69;5,91;6,24;6,27;6,56;6,80;6,65;6,79;6,80;8,91;9,92;6,35
"35 São Paulo";4,58;4,63;4,77;4,71;4,75;4,85;4,87;5,00;5,16;5,03;5,02;5,04;6,59;7,75;5,04
"41 Paraná";3,24;3,47;3,58;3,63;3,60;3,83;3,92;3,99;4,05;3,77;3,80;3,83;5,07;7,04;3,88
"42 Santa Catarina";3,50;3,77;3,98;3,96;3,84;3,94;4,00;4,03;4,18;4,13;4,18;4,15;5,20;7,03;4,13
"43 Rio Grande do Sul";4,27;4,50;4,62;4,61;4,59;4,81;4,74;4,80;5,15;5,04;5,22;5,19;6,20;8,53;4,96
"50 Mato Grosso do Sul";2,83;3,18;3,46;3,50;3,53;3,56;3,55;3,68;3,88;3,96;3,89;3,83;5,02;6,29;3,73
"51 Mato Grosso";2,56;2,89;3,16;3,32;3,20;3,41;3,47;3,59;3,64;3,64;3,66;3,69;4,57;5,57;3,48
"52 Goiás";2,03;2,39;2,51;2,67;2,75;2,85;3,03;3,27;3,44;3,40;3,41;3,63;5,02;6,33;3,12
"53 Distrito Federal";2,96;2,75;2,64;3,09;3,04;3,02;3,25;3,32;3,61;3,14;3,09;2,90;3,88;4,23;3,16
"Total";3,28;3,48;3,61;3,71;3,80;3,94;3,97;4,18;4,38;4,29;4,26;4,31;5,63;6,89;4,11
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
